Libellé du bureau;Adresse - ligne 1;CP
HOTEL DE VILLE BV 101;9 RUE BRULEE;67000
ECOLE MAT LOUIS PASTEUR BV 102;12 RUE DES VEAUX;67000
HOTEL DE VILLE BV 103;9 RUE BRULEE;67000
HOTEL DE VILLE BV 104;9 RUE BRULEE;67000
ECOLE MAT DU FINKWILLER  BV 105;1 RUE DE LA QUESTION;67000
LYCEE D'ENS PROF ECO CH. FREY  BV 106;3 QUAI CHARLES FREY;67000
ECOLE ELE SAINT-THOMAS BV 107;2, RUE DE LA MONNAIE;67000
ECOLE ELE SAINT-THOMAS BV 108;2 , RUE DE LA MONNAIE;67000
ECOLE ELE SCHOEPFLIN BV 111;6 QUAI SCHOEPFLIN;67000
ECOLE ELE DES ROMAINS BV 201;61, ROUTE DES ROMAINS;67200
ECOLE MAT CAMILLE CLAUS BV 202;RUE SAINT-JOSEPH;67200
GYMNASE ECOLE DU HOHBERG  BV 203;10 RUE DU HOHBERG;67200
ECOLE ELE DES ROMAINS BV 204;61 ROUTE DES ROMAINS;67200
ECOLE DU GLIESBERG BV 205;CHEMIN DU GLIESBERG;67200
ECOLE MAT LOUISE SCHEPPLER BV 206;3 RUE DE FOUDAY;67000
GYMNASE SAINTE AURELIE  BV 207;13 RUE MARTIN BUCER;67000
ECOLE MAT LOUISE SCHEPPLER BV 208;3 RUE DE FOUDAY;67000
MAIRIE DE QUARTIER GARE BV 209;33 RUE KAGENECK;67000
GYMNASE SAINTE AURELIE  BV 210;13 RUE MARTIN BUCER;67000
GYMNASE DE L'ECOLE ERCKMANN CHATRIAN BV 211;280 ROUTE DE SCHIRMECK;67200
ECOLE ELE JEAN GUTENBERG  BV 212;30 RUE DE BALBRONN;67200
ECOLE ELE JEAN GUTENBERG BV 213;30 RUE DE BALBRONN;67200
ECOLE ELE LEONARD DE VINCI BV 214;3, RUE LEONARD DE VINCI;67200
ECOLE MAT MARTIN SCHONGAUER BV 215;92 RUE MARTIN SCHONGAUER;67200
ECOLE ELE LEONARD DE VINCI BV 216;3 RUE LEONARD DE VINCI;67200
FOYER SAINT ARBOGAST BV 217;10 RUE DES MEROVINGIENS;67200
ECOLE ELE JEAN GUTENBERG  BV 218;30 RUE DE BALBRONN;67200
GYMNASE ECOLE DU HOHBERG  BV 219;10 RUE DU HOHBERG;67200
GYMNASE ECOLE DU HOHBERG  BV 220;10 RUE DU HOHBERG;67200
ECOLE MAT GUSTAVE STOSKOPF BV 301;22 RUE COLETTE;67200
GYMNASE DE L'ECOLE ELE ELEONORE  BV 302;5-7 PLACE MONTAIGNE;67200
ECOLE ELE CATHERINE BV 311;2 PLACE DE LA COMTESSE DE SEGUR;67200
ECOLE ELE BRIGITTE BV 312;25 RUE GIOBERTI;67200
ECOLE ELE KARINE 1  BV 314;3 CHEMIN JEAN COCTEAU;67200
ECOLE ELE JACQUELINE BV 315;3 ALLE JACK LONDON;67200
ECOLE MAT GUSTAVE STOSKOPF BV 316;22 RUE COLETTE;67200
GYMNASE DE L ECOLE ELE ELEONORE  BV 318;5-7 PLACE MONTAIGNE;67200
ECOLE ELE MARCELLE CAHN  BV 321;33 RUE DU CERF BERR;67200
ECOLE MAT CAMILLE CLAUS  BV 322;RUE SAINT-JOSEPH;67200
ECOLE MAT CAMILLE CLAUS  BV 323;RUE SAINT JOSEPH;67200
E.N.G.E.E.S. BV 414;1, QUAI KOCH;67000
ECOLE MAT SAINT-JEAN  BV 415;13 RUE DES BONNES GENS;67000
ECOLE MAT SAINT-JEAN  BV 416;13 RUE DES BONNES GENS;67000
PALAIS DES FETES  BV 417;5 RUE SELLENICK;67000
PALAIS DES FETES  BV 418;5 RUE SELLENICK;67000
PALAIS DES FETES  BV 419;5 RUE SELLENICK;67000
ECOLE ELE SCHOEPFLIN BV 420;6 QUAI SCHOEPFLIN;67000
LYCEE KLEBER BV 421;45, RUE JACQUES KABLE;67000
LYCEE KLEBER BV 422;45, RUE JACQUES KABLE;67000
LYCEE KLEBER BV 423;45, RUE JACQUES KABLE;67000
ECOLE MAT SAINT-JEAN  BV 424;13 RUE DES BONNES GENS;67000
LYCEE TECH COMMERCIAL RENE CASSIN BV 501;4 RUE SCHOCH;67000
INSTITUTION SAINTE-CLOTILDE BV 502;19,RUE DE VERDUN;67000
PAVILLON JOSEPHINE BV 503;ORANGERIE;67000
PAVILLON JOSEPHINE  BV 504;ORANGERIE;67000
LYCEE TECH COMMERCIAL RENE CASSIN BV 505;4,RUE SCHOCH;67000
LYCEE TECH COMMERCIAL RENE CASSIN BV 506;4,RUE SCHOCH;67000
LYCEE TECH COMMERCIAL RENE CASSIN BV 507;4, RUE SCHOCH;67000
INSTITUTION SAINTE-CLOTILDE   BV 508;19 RUE DE VERDUN;67000
ECOLE MAT VAUBAN BV 509;4 RUE DE LOUVAIN;67000
ECOLE ELE DU CONSEIL DES QUINZE BV 510;13,RUE DE ROTTERDAM;67000
ECOLE ELE DU CONSEIL DES QUINZE BV 511;13, RUE DE ROTTERDAM;67000
INSTITUTION SAINTE-CLOTILDE BV 512;19, RUE DE VERDUN;67000
ECOLE ELE DU CONSEIL DES QUINZE BV 513;13 RUE DE ROTTERDAM;67000
PAVILLON JOSEPHINE BV 514;ORANGERIE;67000
